Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
165.73018	57.34104	139.77350	27.82439	-72.40382	0.41259	-1.31744
166.23088	57.33732	139.77176	27.78872	-72.29445	0.40782	-1.31521
166.73157	57.33512	139.77195	27.77169	-72.25871	0.41628	-1.31461
167.23227	57.33094	139.76979	27.72910	-72.15106	0.41132	-1.31342
167.73296	57.32862	139.76991	27.71215	-72.11597	0.41975	-1.31323
168.23366	57.32446	139.76782	27.67045	-72.00985	0.41464	-1.31325
168.73435	57.32227	139.76803	27.65518	-71.97507	0.42309	-1.31349
169.23505	57.31865	139.76647	27.61726	-71.86972	0.41796	-1.31489
169.73574	57.31665	139.76700	27.60402	-71.83539	0.42647	-1.31565
170.23644	57.31362	139.76651	27.56953	-71.73196	0.42149	-1.31866
170.73713	57.31185	139.76735	27.55805	-71.69811	0.43009	-1.31989
171.23783	57.30956	139.76746	27.52674	-71.59358	0.42525	-1.32347
171.73853	57.30806	139.76846	27.51698	-71.55837	0.43391	-1.32453
172.23922	57.30661	139.76926	27.48851	-71.44789	0.42913	-1.32669
172.73992	57.30539	139.77056	27.48049	-71.41031	0.43783	-1.32703
173.24061	57.30476	139.77259	27.45607	-71.29307	0.43311	-1.32698
173.74131	57.30381	139.77444	27.45044	-71.25347	0.44185	-1.32666
174.24200	57.30373	139.77803	27.43114	-71.13200	0.43711	-1.32533
174.74270	57.30283	139.78026	27.42775	-71.09170	0.44584	-1.32485
175.24339	57.30249	139.78430	27.41224	-70.97037	0.44092	-1.32388
175.74409	57.30141	139.78653	27.41060	-70.93075	0.44958	-1.32379
176.24478	57.30053	139.79079	27.39748	-70.81181	0.44435	-1.32424
176.74548	57.29932	139.79321	27.39716	-70.77283	0.45291	-1.32460
177.24618	57.29830	139.79831	27.38539	-70.65469	0.44735	-1.32607
177.74687	57.29711	139.80106	27.38601	-70.61566	0.45581	-1.32669
178.24757	57.29607	139.80706	27.37486	-70.49766	0.45006	-1.32910
178.74826	57.29482	139.81006	27.37641	-70.45905	0.45852	-1.33017
179.24896	57.29342	139.81643	27.36529	-70.34442	0.45286	-1.33444
179.74965	57.29201	139.81943	27.36724	-70.30761	0.46138	-1.33630
180.25035	57.29023	139.82561	27.35409	-70.19943	0.45588	-1.34302
180.75104	57.28873	139.82849	27.35562	-70.16497	0.46445	-1.34566
181.25174	57.28678	139.83412	27.33840	-70.06301	0.45904	-1.35437
181.75243	57.28527	139.83677	27.33914	-70.03031	0.46763	-1.35759
182.25313	57.28343	139.84182	27.31808	-69.93174	0.46228	-1.36763
182.75382	57.28203	139.84430	27.31848	-69.89935	0.47088	-1.37111
183.25452	57.28076	139.84899	27.29555	-69.79917	0.46554	-1.38094
183.75522	57.27960	139.85138	27.29641	-69.76565	0.47412	-1.38401
184.25591	57.27894	139.85550	27.27391	-69.66172	0.46871	-1.39199
184.75661	57.27794	139.85757	27.27557	-69.62689	0.47725	-1.39429
185.25730	57.27746	139.86054	27.25151	-69.51933	0.47175	-1.39987
185.75800	57.27640	139.86215	27.25285	-69.48346	0.48025	-1.40140
186.25869	57.27538	139.86396	27.22529	-69.37412	0.47467	-1.40519
186.75939	57.27409	139.86528	27.22609	-69.33796	0.48312	-1.40625
187.26008	57.27252	139.86626	27.19564	-69.22711	0.47742	-1.40867
187.76078	57.27111	139.86725	27.19648	-69.19003	0.48579	-1.40926
188.26147	57.26931	139.86742	27.16501	-69.07571	0.47987	-1.41050
188.76217	57.26786	139.86823	27.16635	-69.03751	0.48813	-1.41081
